,stock,price,qty,side,effect,date
0,amzn,3251.52,0.7633587786259542,buy,-2482.0763358778627,2021-10-11
1,spce,23.4981,108.36584451986371,buy,-2546.39145111221,2021-10-11
2,dkng,49.3319,103.13531450526706,buy,-5087.861021642384,2021-10-11
3,v,225.69,10.86909290772619,buy,-2453.0455783447237,2021-10-11
4,coin,258.44,20.03445868198749,buy,-5177.705501772847,2021-10-11
5,gme,180.47,28.90173410404624,buy,-5215.8959537572255,2021-10-11
6,amc,37.3,135.68521593058537,buy,-5061.058554210834,2021-10-11
7,aal,20.225,125.12512799210627,buy,-2530.6557136403494,2021-10-11
8,mgm,44.77,112.73957546853029,buy,-5047.350793726101,2021-10-11
9,spot,233.34,21.379399257670205,buy,-4988.669022784766,2021-10-11
10,pltr,23.54,107.48065242466375,buy,-2530.0945580765847,2021-10-11
11,pfe,42.07,117.78562803630965,buy,-4955.2413714875465,2021-10-11
12,gm,58.1801,85.0484763078435,buy,-4948.128856437966,2021-10-11
