stock,avg_price,qty,P/L%
t,24.4392533207613,0,-1
amd,102.969032979723,0,1
msft,305.04725764038,0,1
amzn,3340.85128487054,0,0
spce,20.0288043178167,0,0
mu,71.8054606077813,0,-1
nvda,220.675721167275,0,0
intc,47.6940064849289,0,-4
dkng,52.6380904071613,0,-5
bac,37.9906532203005,0,-3
v,226.489342475808,0,1
coin,247.824996873526,0,0
gme,27.9642319773985,0,-9
amc,11.3060516525498,0,-1
hood,41.657727410315,0,-1
aal,20.4451997260936,0,2
mgm,44.396629583385,0,1
hd,354.079721046078,0,3
logi,91.2759627147908,0,-3
wmt,62.2038715944429,0,-1
spot,246.207014877486,0,0
fb,339.862138562411,0,0
ge,50.3057242091546,0,-1
pltr,26.8843737982523,0,0
nclh,27.2749954143468,0,0
pfe,42.2287988578125,0,1
f,13.3063208612287,0,2
gm,56.9783619541871,0,1
