trade,stock,price,qty,side,effect,date,
1,mu,5.4423922305,918.713644338097,buy,-5000,2011-10-24 00:00:00,
2,nvda,3.3395574534,1497.20436607836,buy,-5000,2011-10-24 00:00:00,
3,mgm,9.5528812467,523.402298309447,buy,-5000,2011-10-24 00:00:00,
4,logi,6.8553926272,729.352828043955,buy,-5000,2011-10-24 00:00:00,
5,amzn,238.5899963379,10.4782264066906,buy,-2500,2011-10-25 00:00:00,
6,v,21.7816205821,114.775665592784,buy,-2500,2011-10-25 00:00:00,
7,gme,17.101825873,146.18322152063,buy,-2500,2011-10-25 00:00:00,
8,aal,5.5338933689,903.523011140685,buy,-5000,2011-10-25 00:00:00,
9,t,16.3101712095,153.278587201087,buy,-2500,2011-10-25 00:00:00,
10,intc,18.4445694274,271.082500444404,buy,-5000,2011-10-26 00:00:00,
11,mgm,10.3465927233,483.250876275458,buy,-5000,2011-10-26 00:00:00,
12,mu,5.6920433044,878.419177896092,buy,-5000,2011-10-27 00:00:00,
13,nvda,3.4819598864,1435.97288973065,buy,-5000,2011-10-27 00:00:00,
14,intc,18.54125675,269.668883151623,buy,-5000,2011-10-27 00:00:00,
15,mgm,10.5922661289,472.042520377955,buy,-5000,2011-10-27 00:00:00,
16,logi,8.3518264803,598.671441725212,buy,-5000,2011-10-27 00:00:00,
17,mu,5.6720712075,881.512205521796,buy,-5000,2011-10-28 00:00:00,
18,v,21.7233830748,115.083363921345,buy,-2500,2011-10-28 00:00:00,
19,gme,17.4317408076,143.416542707544,buy,-2500,2011-10-28 00:00:00,
20,logi,7.8112309952,640.103973761946,buy,-5000,2011-10-28 00:00:00,
21,amzn,215.7899932861,11.5853379571936,buy,-2500,2011-10-31 00:00:00,
22,mu,5.7619457597,867.762420634159,buy,-5000,2011-10-31 00:00:00,
23,mgm,11.1308542051,449.201822957044,buy,-5000,2011-10-31 00:00:00,
24,amd,5.5599999428,449.64029239558,buy,-2500,2011-11-01 00:00:00,
25,msft,21.0784409239,118.604597419032,buy,-2500,2011-11-01 00:00:00,
26,amzn,208.1100006104,12.0128777697724,buy,-2500,2011-11-01 00:00:00,
27,msft,21.0784409239,118.604597419032,buy,-2500,2011-11-01 00:00:00,
28,mu,5.3824759766,464.470256972554,buy,-2500,2011-11-01 00:00:00,
29,nvda,3.2752482982,763.300908017857,buy,-2500,2011-11-01 00:00:00,
30,intc,17.9313940155,139.420281425916,buy,-2500,2011-11-01 00:00:00,
31,v,21.2365013524,117.721839323475,buy,-2500,2011-11-01 00:00:00,
32,mgm,10.3560422108,482.809928563796,buy,-5000,2011-11-01 00:00:00,
33,hd,27.7612873504,90.0534607219495,buy,-2500,2011-11-01 00:00:00,
34,logi,7.0355902739,355.336212410532,buy,-2500,2011-11-01 00:00:00,
35,wmt,44.218196,56.5378108143534,buy,-2500,2011-11-01 00:00:00,
36,t,16.4804773047,151.694635645476,buy,-2500,2011-11-01 00:00:00,
37,gm,19.1832199295,130.322230010797,buy,-2500,2011-11-01 00:00:00,
38,logi,7.1687812766,348.734311110925,buy,-2500,2011-11-02 00:00:00,
39,wmt,44.9707399194,55.5917026155383,buy,-2500,2011-11-02 00:00:00,
40,logi,7.2784666088,343.478940602322,buy,-2500,2011-11-03 00:00:00,
41,pfe,12.9611755693,192.883738564697,buy,-2500,2011-11-03 00:00:00,
42,logi,7.2157902231,346.462400195161,buy,-2500,2011-11-04 00:00:00,
43,logi,7.0747647285,353.368641352693,buy,-2500,2011-11-07 00:00:00,
44,logi,7.082599472,352.977746360411,buy,-2500,2011-11-08 00:00:00,
45,amd,5.5500001907,450.450434972811,buy,-2500,2011-11-09 00:00:00,
46,intc,18.188225586,274.903122152204,buy,-5000,2011-11-09 00:00:00,
47,logi,6.9024007271,362.192822300881,buy,-2500,2011-11-09 00:00:00,
48,nvda,3.369417197,741.968077513792,buy,-2500,2011-11-10 00:00:00,
49,logi,6.6516884155,375.844423826951,buy,-2500,2011-11-10 00:00:00,
50,gm,17.3437403923,144.144223993915,buy,-2500,2011-11-10 00:00:00,
51,intc,18.240747349,274.111575821706,buy,-5000,2011-11-11 00:00:00,
52,t,16.6905327668,149.785512237984,buy,-2500,2011-11-11 00:00:00,
53,intc,18.5934118173,268.912453998777,buy,-5000,2011-11-14 00:00:00,
54,bac,5.3454212301,467.68998969109,buy,-2500,2011-11-14 00:00:00,
55,logi,6.5341679279,382.604185810001,buy,-2500,2011-11-14 00:00:00,
56,ge,97.1512032613,25.733083235994,buy,-2500,2011-11-14 00:00:00,
57,f,7.5379608664,663.309360265744,buy,-5000,2011-11-14 00:00:00,
