trade,stock,price,qty,side,effect,date
0,t,0.0,0.0,0,0.0,2021-10-18
1,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
2,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
3,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
4,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
5,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
6,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
7,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
8,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
9,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
10,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
11,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
12,hd,27.7612873504,90.0534607219495,buy,-2500.0,2011-11-01 00:00:00
13,hd,30.2305659654,82.69775706023309,buy,-2500.0,2011-11-18 00:00:00
14,hd,29.3914865538,85.05864429224582,buy,-2500.0,2011-11-23 00:00:00
15,hd,30.1211248316,165.9964569037114,buy,-5000.0,2011-11-29 00:00:00
16,hd,32.39228159,77.17887957518215,buy,-2500.0,2011-12-13 00:00:00
17,hd,31.7077088234,78.84517969822603,buy,-2500.0,2011-12-14 00:00:00
18,hd,31.9090466499,78.34768701896755,buy,-2500.0,2011-12-15 00:00:00
19,hd,32.4647631149,77.00656835695813,buy,-2500.0,2011-12-19 00:00:00
20,hd,33.8097463033,73.94317536644714,buy,-2500.0,2011-12-23 00:00:00
21,hd,35.1225072665,71.17942865042869,buy,-2500.0,2012-01-17 00:00:00
22,hd,35.9923284052,69.45924619977662,buy,-2500.0,2012-02-01 00:00:00
23,hd,35.9923284052,69.45924619977662,buy,-2500.0,2012-02-01 00:00:00
24,hd,35.8795595834,69.67755538327866,buy,-2500.0,2012-02-02 00:00:00
25,hd,36.0970215219,69.2577917677572,buy,-2500.0,2012-02-03 00:00:00
26,hd,36.612462662,68.28275997382566,buy,-2500.0,2012-02-08 00:00:00
27,hd,38.2795855514,65.30896204827295,buy,-2500.0,2012-03-01 00:00:00
28,hd,38.2795855514,65.30896204827295,buy,-2500.0,2012-03-01 00:00:00
29,hd,38.2071055921,65.43285499535247,buy,-2500.0,2012-03-02 00:00:00
30,hd,38.0782475822,65.65428187321956,buy,-2500.0,2012-03-05 00:00:00
31,hd,37.6077071998,66.47573559106245,buy,-2500.0,2012-03-07 00:00:00
32,hd,41.5216320103,60.20957941585343,buy,-2500.0,2012-04-24 00:00:00
33,hd,41.7242125846,59.91724816690072,buy,-2500.0,2012-04-25 00:00:00
34,hd,42.1455763447,59.31820648395016,buy,-2500.0,2012-04-27 00:00:00
35,hd,42.0807665013,59.40956422271366,buy,-2500.0,2012-05-01 00:00:00
36,hd,42.0807665013,59.40956422271366,buy,-2500.0,2012-05-01 00:00:00
37,hd,42.0807665013,59.40956422271366,buy,-2500.0,2012-05-01 00:00:00
38,hd,42.0807665013,59.40956422271366,buy,-2500.0,2012-05-01 00:00:00
39,hd,42.0807665013,59.40956422271366,buy,-2500.0,2012-05-01 00:00:00
40,hd,42.6387957171,3021.0,sell,128811.80186135911,2012-08-01 00:00:00
41,hd,42.0111581859,59.507999968424166,buy,-2500.0,2012-08-02 00:00:00
42,hd,42.7203102812,60.0,sell,2563.218616872,2012-08-06 00:00:00
43,hd,46.1927148551,54.121088311049604,buy,-2500.0,2012-08-21 00:00:00
44,hd,45.9644832305,54.38982066790888,buy,-2500.0,2012-08-24 00:00:00
45,hd,46.5269082206,107.46469497378352,buy,-5000.0,2012-08-27 00:00:00
46,hd,46.078007578,54.255818152901824,buy,-2500.0,2012-08-28 00:00:00
47,hd,46.8891298525,53.317261545784625,buy,-2500.0,2012-09-11 00:00:00
48,hd,46.5777869509,53.67365355153899,buy,-2500.0,2012-09-12 00:00:00
49,hd,49.060285383,50.95771417722493,buy,-2500.0,2012-10-15 00:00:00
50,hd,50.2155136352,49.78541130061355,buy,-2500.0,2012-10-17 00:00:00
51,hd,50.6333784395,49.374544560307385,buy,-2500.0,2012-11-08 00:00:00
52,hd,52.9274355257,47.23448198781658,buy,-2500.0,2012-11-26 00:00:00
53,hd,53.1329317009,47.05179857330653,buy,-2500.0,2012-11-29 00:00:00
54,hd,53.4950415396,46.733303275395365,buy,-2500.0,2012-12-03 00:00:00
55,hd,53.4374442691,46.78367452250361,buy,-2500.0,2012-12-04 00:00:00
56,hd,52.811954629,47.33776694239612,buy,-2500.0,2012-12-05 00:00:00
57,hd,52.7214231425,47.419053792284494,buy,-2500.0,2012-12-06 00:00:00
58,hd,52.1700260898,47.920236721690785,buy,-2500.0,2012-12-18 00:00:00
59,hd,50.5733896955,49.433111267652464,buy,-2500.0,2012-12-20 00:00:00
60,hd,50.2277260423,49.77330643825263,buy,-2500.0,2012-12-27 00:00:00
61,hd,49.8820725049,50.11820629053496,buy,-2500.0,2012-12-28 00:00:00
62,hd,52.2605541398,95.67445432409139,buy,-5000.0,2013-01-15 00:00:00
